City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Iqaluit,CA,63.7506,-68.5145,6.8,78,1,17.27,clear sky
80,Hermanus,ZA,-34.4187,19.2345,61.0,69,23,5.01,few clouds
81,Castro,BR,-24.7911,-50.0119,63.05,96,100,5.97,heavy intensity rain
82,Victoria,HK,22.2855,114.1577,66.0,81,27,1.01,scattered clouds
83,Port-Cartier,CA,50.0334,-66.8654,34.0,69,100,14.97,overcast clouds
84,Tasiilaq,GL,65.6145,-37.6368,12.2,52,64,3.44,broken clouds
85,Namibe,AO,-15.1961,12.1522,75.0,72,100,5.99,light rain
86,Chokurdakh,RU,70.6333,147.9167,-34.87,83,100,8.21,overcast clouds
87,Barrow,US,71.2906,-156.7887,1.4,78,1,18.41,haze
88,Ostrovnoy,RU,68.0531,39.5131,0.5,91,80,11.41,broken clouds
89,Avera,US,33.194,-82.5271,45.0,65,75,4.61,broken clouds
90,Upernavik,GL,72.7868,-56.1549,20.19,83,100,6.89,overcast clouds
91,Haines Junction,CA,60.7522,-137.5108,8.6,92,100,2.82,overcast clouds
92,Mitchell,US,43.7094,-98.0298,21.2,100,90,3.89,mist
93,Maryville,US,35.7565,-83.9705,37.4,41,90,9.22,overcast clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,75.99,94,42,1.99,scattered clouds
95,Hualmay,PE,-11.0964,-77.6139,71.82,74,88,6.87,overcast clouds
96,Novikovo,RU,51.1537,37.8879,34.74,96,100,8.72,overcast clouds
97,Korsakov,RU,46.6328,142.7813,32.0,69,75,6.71,broken clouds
98,Beloha,MG,-25.1667,45.05,78.84,80,15,10.11,few clouds
99,Srednekolymsk,RU,67.45,153.6833,-26.57,85,100,9.57,overcast clouds
100,Provideniya,RU,64.3833,-173.3,6.69,83,1,2.3,clear sky
101,Mar Del Plata,AR,-38.0023,-57.5575,75.99,88,0,5.75,clear sky
102,Chuy,UY,-33.6971,-53.4616,69.8,96,3,5.32,clear sky
103,Lavrentiya,RU,65.5833,-171.0,-1.53,85,91,5.61,overcast clouds
104,Codrington,AU,-38.2667,141.9667,100.31,15,100,6.96,light rain
105,Pacific Grove,US,36.6177,-121.9166,51.01,81,75,4.61,broken clouds
