City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mokolo,CM,2021-01-21 23:41:04,10.7398,13.8019,61.12,31,14,7.31
68,Bahia Honda,CU,2021-01-21 23:41:04,22.9036,-83.1592,69.44,81,71,7.45
69,Nikolskoye,RU,2021-01-21 23:41:04,59.7035,30.7861,15.8,86,90,15.66
70,Atuona,PF,2021-01-21 23:41:04,-9.8,-139.0333,78.44,77,53,13.87
71,Aklavik,CA,2021-01-21 23:41:05,68.2191,-135.0107,-9.4,77,75,2.3
72,Vestmannaeyjar,IS,2021-01-21 23:41:05,63.4427,-20.2734,30.13,89,62,25.08
73,Sur,OM,2021-01-21 23:41:05,22.5667,59.5289,69.76,46,7,5.7
74,Albany,US,2021-01-21 23:41:05,42.6001,-73.9662,33.01,56,71,6.29
75,Sistranda,NO,2021-01-21 23:41:05,63.7256,8.834,39.2,65,0,19.57
76,Mar Del Plata,AR,2021-01-21 23:39:53,-38.0023,-57.5575,75.2,83,0,13.8
77,Port Blair,IN,2021-01-21 23:41:06,11.6667,92.75,73.92,69,18,7.16
78,Castro,BR,2021-01-21 23:41:06,-24.7911,-50.0119,64.51,97,100,5.39
79,Constitucion,CL,2021-01-21 23:39:17,-35.3333,-72.4167,59.2,88,17,4.99
80,Hovd,MN,2021-01-21 23:41:06,48.0056,91.6419,5.09,87,2,0.92
81,San Quintin,MX,2021-01-21 23:41:06,30.4833,-115.95,61.32,73,12,6.69
82,Hengshui,CN,2021-01-21 23:36:13,37.7322,115.7011,27.46,87,3,5.73
83,Elwood,AU,2021-01-21 23:41:06,-37.8817,144.983,79.0,38,100,6.91
84,Ribeira Grande,PT,2021-01-21 23:41:07,38.5167,-28.7,59.58,67,98,6.13
85,Cabo San Lucas,MX,2021-01-21 23:37:24,22.8909,-109.9124,75.0,83,75,4.61
86,Aranos,NA,2021-01-21 23:41:07,-24.1333,19.1167,77.74,55,93,13.58
87,Zlobin,HR,2021-01-21 23:41:07,45.2924,14.6541,53.6,87,75,16.11
88,Puerto El Triunfo,SV,2021-01-21 23:41:07,13.2833,-88.55,86.0,58,20,4.61
89,Tura,IN,2021-01-21 23:41:07,25.5198,90.2201,55.24,62,0,3.74
90,Saskylakh,RU,2021-01-21 23:41:07,71.9167,114.0833,-20.33,86,100,10.56
91,Pingliang,CN,2021-01-21 23:41:07,35.5392,106.6861,29.26,69,93,2.55
92,Saint-Philippe,RE,2021-01-21 23:41:08,-21.3585,55.7679,80.6,74,75,1.14
93,Marshalltown,US,2021-01-21 23:37:54,42.0494,-92.908,35.6,64,1,10.36
94,Broken Hill,AU,2021-01-21 23:41:08,-31.95,141.4333,80.6,16,0,9.22
95,Okha,RU,2021-01-21 23:41:08,53.5739,142.9478,-0.78,92,100,13.87
96,Guerrero Negro,MX,2021-01-21 23:36:52,27.9769,-114.0611,65.79,54,16,9.57
97,Kihei,US,2021-01-21 23:38:05,20.785,-156.4656,80.6,54,40,27.63
98,Mildura,AU,2021-01-21 23:41:00,-34.2,142.15,80.6,22,0,2.3
99,Beringovskiy,RU,2021-01-21 23:41:09,63.05,179.3167,-0.63,92,100,8.7
100,Victoria,HK,2021-01-21 23:37:33,22.2855,114.1577,66.99,83,69,2.28
101,Rio Gallegos,AR,2021-01-21 23:40:34,-51.6226,-69.2181,64.4,27,40,17.27
102,Outjo,NA,2021-01-21 23:41:09,-20.1167,16.15,64.71,84,100,14.16
103,Avarua,CK,2021-01-21 23:41:09,-21.2078,-159.775,86.0,70,58,6.91
104,Ucluelet,CA,2021-01-21 23:40:35,48.9329,-125.5528,48.2,66,20,8.05
105,Coihaique,CL,2021-01-21 23:41:09,-45.5752,-72.0662,64.4,48,75,8.05
106,Hobart,AU,2021-01-21 23:41:10,-42.8794,147.3294,72.0,30,0,16.11
107,Wamba,NG,2021-01-21 23:41:10,8.9333,8.6,71.19,22,39,3.13
108,San Patricio,US,2021-01-21 23:41:10,28.017,-97.5169,66.2,94,90,1.92
109,Butaritari,KI,2021-01-21 23:41:10,3.0707,172.7902,79.95,80,24,12.95
110,General Roca,AR,2021-01-21 23:38:27,-39.0333,-67.5833,100.4,28,0,3.44
111,Souillac,MU,2021-01-21 23:41:11,-20.5167,57.5167,77.0,83,40,6.13
112,Finschhafen,PG,2021-01-21 23:41:11,-6.6024,147.8681,86.4,65,100,11.48
113,Khandyga,RU,2021-01-21 23:41:11,62.6667,135.6,-47.09,77,100,2.66
114,Unguia,CO,2021-01-21 23:41:11,8.0434,-77.0945,77.65,79,40,4.21
115,Dikson,RU,2021-01-21 23:41:11,73.5069,80.5464,-26.43,83,10,4.29
116,Vila Franca Do Campo,PT,2021-01-21 23:41:11,37.7167,-25.4333,57.0,82,20,8.05
117,Arraial Do Cabo,BR,2021-01-21 23:41:12,-22.9661,-42.0278,77.0,83,0,13.8
118,Hilo,US,2021-01-21 23:39:39,19.7297,-155.09,70.0,88,90,6.91
119,Murray Bridge,AU,2021-01-21 23:41:12,-35.1167,139.2667,82.0,31,0,3.0
120,Upernavik,GL,2021-01-21 23:41:12,72.7868,-56.1549,26.31,98,88,11.54
121,Turayf,SA,2021-01-21 23:41:12,31.6725,38.6637,30.2,86,0,8.05
122,Yellowknife,CA,2021-01-21 23:39:58,62.456,-114.3525,-14.8,76,75,5.75
123,Pampierstad,ZA,2021-01-21 23:41:13,-27.7832,24.6877,80.22,41,44,6.4
124,Iskar,BG,2021-01-21 23:41:13,43.45,24.2667,33.8,80,1,2.3
125,Chengde,CN,2021-01-21 23:41:13,40.9725,117.9361,17.49,86,0,3.15
