City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
217,Port Blair,IN,80.92,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
223,Wattegama,LK,80.6,scattered clouds,6.7989,81.4808,
228,Touros,BR,77.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
233,Pisco,PE,71.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
238,Zaraza,VE,74.16,overcast clouds,9.3503,-65.3245,Hotel Zaraza
239,Muisne,EC,75.96,moderate rain,0.6,-80.0333,Quinta Samay
241,Sawtell,AU,84.99,clear sky,-30.3833,153.1,Island Beach House Sawtell
244,Carnarvon,AU,82.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
246,Bengkulu,ID,88.93,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
250,Soyo,AO,78.37,light rain,-6.1349,12.3689,Hotel Mpampa
251,Banjarmasin,ID,86.0,scattered clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
258,Doctor Juan Leon Mallorquin,PY,73.4,clear sky,-25.4,-55.2667,Hotel Puma S.A.
262,Japura,ID,80.26,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
263,Phalaborwa,ZA,73.4,moderate rain,-23.943,31.1411,Bothabelo B&B
265,Gisborne,NZ,82.0,light rain,-38.6533,178.0042,ASURE Alfresco Motor Lodge
266,Ballitoville,ZA,80.01,broken clouds,-29.539,31.2144,Hotel Fairmont Zimbali Resort
267,Ahuimanu,US,78.01,light rain,21.4447,-157.8378,Paradise Bay Resort
270,Fare,PF,81.3,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
272,Vanimo,PG,86.81,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
276,Manicore,BR,77.0,scattered clouds,-5.8092,-61.3003,Hotel Durval
283,Luanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
286,Miri,MY,84.2,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
288,Kulhudhuffushi,MV,82.02,clear sky,6.6221,73.07,Haajy Guest House 1
291,Kieta,PG,85.37,few clouds,-6.2167,155.6333,
293,Labuan,MY,86.0,few clouds,5.2767,115.2417,Tiara Labuan Hotel
295,Byron Bay,AU,82.4,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
296,Vao,NC,75.69,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
297,Itarema,BR,80.22,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
305,Christchurch,NZ,77.0,moderate rain,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
314,Mahibadhoo,MV,83.26,broken clouds,3.7833,72.9667,Omadhoo Inn
317,Khirkiya,IN,73.47,clear sky,22.1674,76.8605,Sanjay Industries
321,Manggar,ID,84.27,light rain,-2.8833,108.2667,Guest Hotel
322,Akyab,MM,71.55,clear sky,20.15,92.9,Hotel Memory
324,Pimentel,PE,71.55,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
327,Sena Madureira,BR,72.14,light rain,-9.0656,-68.6569,Hotel Central
333,Alta Floresta,BR,71.49,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
334,Cotonou,BJ,78.12,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
337,Nuevo Progreso,MX,73.99,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
339,Kavaratti,IN,81.32,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
341,Atambua,ID,81.01,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
342,Tucurui,BR,72.64,clear sky,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
347,Itajobi,BR,78.8,light rain,-21.3181,-49.0544,Bruno Ferreira
